,Poff,Diff,Decaylength_nm
0,-5.0,-3.0,1.8339549121487748
1,-4.5,-3.0,1.8402223272127516
2,-4.0,-3.0,1.8337475480458398
3,-3.5,-3.0,1.8089404181726019
4,-3.0,-3.0,1.7659891824128207
5,-2.5,-3.0,1.6384232492098496
6,-2.0,-3.0,1.4618788920620491
7,-1.5,-3.0,1.1514598931702253
8,-1.0,-3.0,0.943590679350082
9,-5.0,-2.75,1.9046214004399362
10,-4.5,-2.75,1.9071390566611826
11,-4.0,-2.75,1.8700846424955777
12,-3.5,-2.75,1.8855558275547455
13,-3.0,-2.75,1.8604357338241502
14,-2.5,-2.75,1.7234692656652106
15,-2.0,-2.75,1.469928431162622
16,-1.5,-2.75,1.2813488664721244
17,-1.0,-2.75,1.030593407370091
18,-5.0,-2.5,2.0072609636263796
19,-4.5,-2.5,2.013644850899983
20,-4.0,-2.5,2.008769492753769
21,-3.5,-2.5,1.9982230329225605
22,-3.0,-2.5,1.9237966189112319
23,-2.5,-2.5,1.7593010208136923
24,-2.0,-2.5,1.5789063397824756
25,-1.5,-2.5,1.4064702646504383
26,-1.0,-2.5,1.2390274571280517
27,-5.0,-2.25,2.096817735234818
28,-4.5,-2.25,2.1103677990941274
29,-4.0,-2.25,2.118689539163094
30,-3.5,-2.25,2.0833618443777024
31,-3.0,-2.25,2.003733563311808
32,-2.5,-2.25,1.9105894890164554
33,-2.0,-2.25,1.7237680420781665
34,-1.5,-2.25,1.4432152176929747
35,-1.0,-2.25,1.2656162686310468
36,-5.0,-2.0,2.232665998360809
37,-4.5,-2.0,2.2473984672979515
38,-4.0,-2.0,2.141739587927732
39,-3.5,-2.0,2.1772959240028467
40,-3.0,-2.0,2.105312951294832
41,-2.5,-2.0,1.9983960758502022
42,-2.0,-2.0,1.826872030061792
43,-1.5,-2.0,1.5501514897340005
44,-1.0,-2.0,1.3387553910406664
45,-5.0,-1.75,2.3291513786377154
46,-4.5,-1.75,2.319238561052337
47,-4.0,-1.75,2.3504120388995613
48,-3.5,-1.75,2.338253551787572
49,-3.0,-1.75,2.3011516151464364
50,-2.5,-1.75,2.0895463586957783
51,-2.0,-1.75,1.8308253802462569
52,-1.5,-1.75,1.7135659865979072
53,-1.0,-1.75,1.448562201481666
54,-5.0,-1.5,2.437017571491887
55,-4.5,-1.5,2.5002304642316027
56,-4.0,-1.5,2.4378618433222927
57,-3.5,-1.5,2.3309249781273422
58,-3.0,-1.5,2.5064443657032207
59,-2.5,-1.5,2.3116780832800807
60,-2.0,-1.5,1.9505493818684503
61,-1.5,-1.5,1.7000135638655325
62,-1.0,-1.5,1.5410148542889872
63,-5.0,-1.25,2.6131622920459927
64,-4.5,-1.25,2.6118632602369263
65,-4.0,-1.25,2.601816854490059
66,-3.5,-1.25,2.6126991775517148
67,-3.0,-1.25,2.446857603496792
68,-2.5,-1.25,2.3019777911073316
69,-2.0,-1.25,2.2074472311342372
70,-1.5,-1.25,1.9720391402145525
71,-1.0,-1.25,1.7374539928870698
72,-5.0,-1.0,2.7907799769350072
73,-4.5,-1.0,2.758652782761801
74,-4.0,-1.0,2.872409322992042
75,-3.5,-1.0,2.584926441787941
76,-3.0,-1.0,2.674648562194454
77,-2.5,-1.0,2.544439524962905
78,-2.0,-1.0,2.0502246669963244
79,-1.5,-1.0,2.1280069827042283
80,-1.0,-1.0,1.7541173524827385
81,-5.0,-0.75,2.877521985318489
82,-4.5,-0.75,3.129367886700386
83,-4.0,-0.75,3.1707863124040134
84,-3.5,-0.75,2.8848889644956524
85,-3.0,-0.75,2.7079433953785315
86,-2.5,-0.75,2.6593378011443916
87,-2.0,-0.75,2.1843292933873255
88,-1.5,-0.75,2.1274009144114894
89,-1.0,-0.75,1.7820162468235627
90,-5.0,-0.5,3.2148553135733655
91,-4.5,-0.5,3.5613469162842883
92,-4.0,-0.5,3.731445428234725
93,-3.5,-0.5,3.7744064518452003
94,-3.0,-0.5,3.068760857247379
95,-2.5,-0.5,2.6880131653802994
96,-2.0,-0.5,2.5798461395254018
97,-1.5,-0.5,2.2715407012977606
98,-1.0,-0.5,1.4141333666936224
99,-5.0,-0.25,3.2824876023089975
100,-4.5,-0.25,3.298967658408063
101,-4.0,-0.25,3.7837549022941777
102,-3.5,-0.25,3.948924692324251
103,-3.0,-0.25,3.1665660041296926
104,-2.5,-0.25,3.796015755579874
105,-2.0,-0.25,2.8250974378216736
106,-1.5,-0.25,2.3845549909223522
107,-1.0,-0.25,2.3127118848373907
