,Decaylength_nm,Depletion_nm,PhosRatio
0,10.0,0.0,0.005671100000000001
1,20.0,0.0,0.043841000000000005
2,30.0,0.0,0.097928
3,40.0,0.0,0.13883
4,50.0,0.0,0.18379
5,60.0,0.0,0.26241
6,70.0,0.0,0.31277
7,80.0,0.0,0.37008
8,90.0,0.0,0.38461999999999996
9,100.0,0.0,0.40039
10,110.0,0.0,0.49505
11,120.0,0.0,0.46228
12,130.0,0.0,0.58621
13,140.0,0.0,0.6087
14,150.0,0.0,0.65971
15,160.0,0.0,0.6582
16,170.0,0.0,0.6992
17,180.0,0.0,0.7608699999999999
18,190.0,0.0,0.76735
19,200.0,0.0,0.78033
20,10.0,10.0,0.0
21,20.0,10.0,0.030132
22,30.0,10.0,0.059054999999999996
23,40.0,10.0,0.086538
24,50.0,10.0,0.19335
25,60.0,10.0,0.18919
26,70.0,10.0,0.24791999999999997
27,80.0,10.0,0.2834
28,90.0,10.0,0.36025
29,100.0,10.0,0.36791
30,110.0,10.0,0.47465
31,120.0,10.0,0.46828000000000003
32,130.0,10.0,0.47148
33,140.0,10.0,0.5475300000000001
34,150.0,10.0,0.57263
35,160.0,10.0,0.60911
36,170.0,10.0,0.72868
37,180.0,10.0,0.72937
38,190.0,10.0,0.76673
39,200.0,10.0,0.75198
40,10.0,20.0,0.0
41,20.0,20.0,0.014085
42,30.0,20.0,0.039063
43,40.0,20.0,0.070423
44,50.0,20.0,0.08413
45,60.0,20.0,0.14747000000000002
46,70.0,20.0,0.21384
47,80.0,20.0,0.26638
48,90.0,20.0,0.30196
49,100.0,20.0,0.37882
50,110.0,20.0,0.501
51,120.0,20.0,0.45102
52,130.0,20.0,0.50269
53,140.0,20.0,0.52323
54,150.0,20.0,0.61044
55,160.0,20.0,0.7058800000000001
56,170.0,20.0,0.6284
57,180.0,20.0,0.72628
58,190.0,20.0,0.72912
59,200.0,20.0,0.7209800000000001
60,10.0,30.0,0.0
61,20.0,30.0,0.0
62,30.0,30.0,0.01938
63,40.0,30.0,0.075397
64,50.0,30.0,0.10387
65,60.0,30.0,0.1499
66,70.0,30.0,0.17282
67,80.0,30.0,0.22305
68,90.0,30.0,0.26369000000000004
69,100.0,30.0,0.3248
70,110.0,30.0,0.39148
71,120.0,30.0,0.38095
72,130.0,30.0,0.508
73,140.0,30.0,0.5634600000000001
74,150.0,30.0,0.5838399999999999
75,160.0,30.0,0.59528
76,170.0,30.0,0.67179
77,180.0,30.0,0.69025
78,190.0,30.0,0.69455
79,200.0,30.0,0.73333
80,10.0,40.0,0.0
81,20.0,40.0,0.0
82,30.0,40.0,0.0055762
83,40.0,40.0,0.036437
84,50.0,40.0,0.034068
85,60.0,40.0,0.095331
86,70.0,40.0,0.14751
87,80.0,40.0,0.20583
88,90.0,40.0,0.2191
89,100.0,40.0,0.32689
90,110.0,40.0,0.37449
91,120.0,40.0,0.46613999999999994
92,130.0,40.0,0.43863
93,140.0,40.0,0.56304
94,150.0,40.0,0.63825
95,160.0,40.0,0.61024
96,170.0,40.0,0.6237
97,180.0,40.0,0.7007899999999999
98,190.0,40.0,0.68347
99,200.0,40.0,0.72222
100,10.0,50.0,0.0
101,20.0,50.0,0.0
102,30.0,50.0,0.0020408
103,40.0,50.0,0.025896
104,50.0,50.0,0.035857
105,60.0,50.0,0.07484400000000001
106,70.0,50.0,0.11546
107,80.0,50.0,0.20263
108,90.0,50.0,0.26535
109,100.0,50.0,0.29339
110,110.0,50.0,0.41
111,120.0,50.0,0.43446
112,130.0,50.0,0.5049100000000001
113,140.0,50.0,0.5098
114,150.0,50.0,0.5729
115,160.0,50.0,0.61771
116,170.0,50.0,0.65882
117,180.0,50.0,0.70716
118,190.0,50.0,0.6771699999999999
119,200.0,50.0,0.72538
120,10.0,60.0,0.0
121,20.0,60.0,0.0
122,30.0,60.0,0.0
123,40.0,60.0,0.009881399999999999
124,50.0,60.0,0.040619
125,60.0,60.0,0.072187
126,70.0,60.0,0.11696
127,80.0,60.0,0.18219000000000002
128,90.0,60.0,0.17578
129,100.0,60.0,0.28231
130,110.0,60.0,0.2956
131,120.0,60.0,0.39148
132,130.0,60.0,0.54095
133,140.0,60.0,0.49903000000000003
134,150.0,60.0,0.55796
135,160.0,60.0,0.57934
136,170.0,60.0,0.6986
137,180.0,60.0,0.59443
138,190.0,60.0,0.70398
139,200.0,60.0,0.6927800000000001
140,10.0,70.0,0.0
141,20.0,70.0,0.0
142,30.0,70.0,0.0
143,40.0,70.0,0.0020284
144,50.0,70.0,0.008316
145,60.0,70.0,0.070342
146,70.0,70.0,0.09434
147,80.0,70.0,0.14087
148,90.0,70.0,0.13733
149,100.0,70.0,0.25
150,110.0,70.0,0.27495
151,120.0,70.0,0.39105
152,130.0,70.0,0.45992
153,140.0,70.0,0.5144
154,150.0,70.0,0.49467
155,160.0,70.0,0.65289
156,170.0,70.0,0.6510699999999999
157,180.0,70.0,0.69245
158,190.0,70.0,0.66333
159,200.0,70.0,0.66414
160,10.0,80.0,0.0
161,20.0,80.0,0.0
162,30.0,80.0,0.0
163,40.0,80.0,0.0
164,50.0,80.0,0.0089928
165,60.0,80.0,0.048076999999999995
166,70.0,80.0,0.056285
167,80.0,80.0,0.14286
168,90.0,80.0,0.15129
169,100.0,80.0,0.19322999999999999
170,110.0,80.0,0.26779000000000003
171,120.0,80.0,0.31478
172,130.0,80.0,0.408
