,Decaylength_nm,Depletion_nm,RgRatio
0,10.0,0.0,1.3671
1,20.0,0.0,1.3329
2,30.0,0.0,1.3358
3,40.0,0.0,1.329
4,50.0,0.0,1.2909
5,60.0,0.0,1.257
6,70.0,0.0,1.2224
7,80.0,0.0,1.2046
8,90.0,0.0,1.1914
9,100.0,0.0,1.1282
10,110.0,0.0,1.1079
11,120.0,0.0,1.1291
12,130.0,0.0,1.0693
13,140.0,0.0,1.0571
14,150.0,0.0,1.0552
15,160.0,0.0,1.0378
16,170.0,0.0,1.0326
17,180.0,0.0,1.0258
18,190.0,0.0,1.019
19,200.0,0.0,1.0223
20,10.0,10.0,1.5
21,20.0,10.0,1.394
22,30.0,10.0,1.3865
23,40.0,10.0,1.3276
24,50.0,10.0,1.2837
25,60.0,10.0,1.2804
26,70.0,10.0,1.2637
27,80.0,10.0,1.2045
28,90.0,10.0,1.1625
29,100.0,10.0,1.1734
30,110.0,10.0,1.1404
31,120.0,10.0,1.1139
32,130.0,10.0,1.1024
33,140.0,10.0,1.063
34,150.0,10.0,1.0704
35,160.0,10.0,1.0299
36,170.0,10.0,1.01
37,180.0,10.0,1.0196
38,190.0,10.0,1.0127
39,200.0,10.0,1.0016
40,10.0,20.0,1.5
41,20.0,20.0,1.3946
42,30.0,20.0,1.3764
43,40.0,20.0,1.3469
44,50.0,20.0,1.3604
45,60.0,20.0,1.3224
46,70.0,20.0,1.2745
47,80.0,20.0,1.2099
48,90.0,20.0,1.1746
49,100.0,20.0,1.1557
50,110.0,20.0,1.1109
51,120.0,20.0,1.0956
52,130.0,20.0,1.0775
53,140.0,20.0,1.0815
54,150.0,20.0,1.0485
55,160.0,20.0,1.0175
56,170.0,20.0,1.0234
57,180.0,20.0,1.0105
58,190.0,20.0,1.0297
59,200.0,20.0,1.0243
60,10.0,30.0,1.5
61,20.0,30.0,1.5
62,30.0,30.0,1.365
63,40.0,30.0,1.329
64,50.0,30.0,1.3517
65,60.0,30.0,1.2689
66,70.0,30.0,1.2695
67,80.0,30.0,1.2438
68,90.0,30.0,1.213
69,100.0,30.0,1.194
70,110.0,30.0,1.1365
71,120.0,30.0,1.1509
72,130.0,30.0,1.0833
73,140.0,30.0,1.0619
74,150.0,30.0,1.0571
75,160.0,30.0,1.0483
76,170.0,30.0,1.0319
77,180.0,30.0,1.0257
78,190.0,30.0,1.0255
79,200.0,30.0,1.0081
80,10.0,40.0,1.5
81,20.0,40.0,1.5
82,30.0,40.0,1.387
83,40.0,40.0,1.301
84,50.0,40.0,1.3635
85,60.0,40.0,1.2845
86,70.0,40.0,1.2599
87,80.0,40.0,1.2553
88,90.0,40.0,1.2228
89,100.0,40.0,1.1868
90,110.0,40.0,1.1702
91,120.0,40.0,1.1292
92,130.0,40.0,1.1045
93,140.0,40.0,1.0668
94,150.0,40.0,1.0328
95,160.0,40.0,1.0515
96,170.0,40.0,1.0434
97,180.0,40.0,1.023
98,190.0,40.0,1.0253
99,200.0,40.0,1.0214
100,10.0,50.0,1.5
101,20.0,50.0,1.5
102,30.0,50.0,1.3775
103,40.0,50.0,1.3558
104,50.0,50.0,1.3546
105,60.0,50.0,1.3427
106,70.0,50.0,1.2731
107,80.0,50.0,1.2565
108,90.0,50.0,1.2233
109,100.0,50.0,1.2284
110,110.0,50.0,1.1566
111,120.0,50.0,1.1159
112,130.0,50.0,1.0925
113,140.0,50.0,1.0908
114,150.0,50.0,1.0593
115,160.0,50.0,1.053
116,170.0,50.0,1.0349
117,180.0,50.0,1.0274
118,190.0,50.0,1.0298
119,200.0,50.0,1.009
120,10.0,60.0,1.5
121,20.0,60.0,1.5
122,30.0,60.0,1.5
123,40.0,60.0,1.375
124,50.0,60.0,1.3786
125,60.0,60.0,1.2945
126,70.0,60.0,1.2969
127,80.0,60.0,1.2522
128,90.0,60.0,1.2481
129,100.0,60.0,1.1963
130,110.0,60.0,1.178
131,120.0,60.0,1.1186
132,130.0,60.0,1.0795
133,140.0,60.0,1.0683
134,150.0,60.0,1.0627
135,160.0,60.0,1.0478
136,170.0,60.0,1.0166
137,180.0,60.0,1.0372
138,190.0,60.0,1.0154
139,200.0,60.0,1.0128
140,10.0,70.0,1.5
141,20.0,70.0,1.5
142,30.0,70.0,1.5
143,40.0,70.0,1.4128
144,50.0,70.0,1.3556
145,60.0,70.0,1.324
146,70.0,70.0,1.3274
147,80.0,70.0,1.2779
148,90.0,70.0,1.2882
149,100.0,70.0,1.2241
150,110.0,70.0,1.1829
151,120.0,70.0,1.1293
152,130.0,70.0,1.106
153,140.0,70.0,1.0866
154,150.0,70.0,1.0761
155,160.0,70.0,1.0439
156,170.0,70.0,1.0243
157,180.0,70.0,1.0044
158,190.0,70.0,1.0112
159,200.0,70.0,1.0154
160,10.0,80.0,1.5
161,20.0,80.0,1.5
162,30.0,80.0,1.5
163,40.0,80.0,1.5
164,50.0,80.0,1.3578
165,60.0,80.0,1.3471
166,70.0,80.0,1.3242
167,80.0,80.0,1.2397
168,90.0,80.0,1.268
169,100.0,80.0,1.241
170,110.0,80.0,1.2153
171,120.0,80.0,1.1419
172,130.0,80.0,1.133
173,140.0,80.0,1.0877
174,150.0,80.0,1.0653
175,160.0,80.0,1.0508
176,170.0,80.0,1.0519
177,180.0,80.0,1.0269
178,190.0,80.0,1.026
179,200.0,80.0,1.0031
180,10.0,90.0,1.5
181,20.0,90.0,1.5
182,30.0,90.0,1.5
183,40.0,90.0,1.5
184,50.0,90.0,1.3863
185,60.0,90.0,1.3128
186,70.0,90.0,1.3289
187,80.0,90.0,1.2916
188,90.0,90.0,1.2463
189,100.0,90.0,1.272
190,110.0,90.0,1.2105
191,120.0,90.0,1.1561
192,130.0,90.0,1.117
193,140.0,90.0,1.1034
194,150.0,90.0,1.0883
195,160.0,90.0,1.0595
196,170.0,90.0,1.0304
197,180.0,90.0,1.027
198,190.0,90.0,1.0257
199,200.0,90.0,1.0156
200,10.0,100.0,1.5
201,20.0,100.0,1.5
202,30.0,100.0,1.5
203,40.0,100.0,1.5
204,50.0,100.0,1.249
205,60.0,100.0,1.3814
206,70.0,100.0,1.3529
207,80.0,100.0,1.2801
208,90.0,100.0,1.2755
209,100.0,100.0,1.2422
210,110.0,100.0,1.2208
211,120.0,100.0,1.2005
212,130.0,100.0,1.1469
213,140.0,100.0,1.116
214,150.0,100.0,1.0846
215,160.0,100.0,1.0541
216,170.0,100.0,1.0395
217,180.0,100.0,1.03
218,190.0,100.0,1.0164
219,200.0,100.0,1.0311
220,10.0,110.0,1.5
221,20.0,110.0,1.5
222,30.0,110.0,1.5
223,40.0,110.0,1.5
224,50.0,110.0,1.4042
225,60.0,110.0,1.3788
226,70.0,110.0,1.3595
227,80.0,110.0,1.3106
228,90.0,110.0,1.2985
229,100.0,110.0,1.2639
230,110.0,110.0,1.2415
231,120.0,110.0,1.2117
232,130.0,110.0,1.1611
233,140.0,110.0,1.131
234,150.0,110.0,1.0729
235,160.0,110.0,1.0757
236,170.0,110.0,1.0498
237,180.0,110.0,1.0323
238,190.0,110.0,1.0252
239,200.0,110.0,1.0246
240,10.0,120.0,1.5
241,20.0,120.0,1.5
242,30.0,120.0,1.5
243,40.0,120.0,1.5
244,50.0,120.0,1.5
245,60.0,120.0,1.3786
246,70.0,120.0,1.3445
247,80.0,120.0,1.3539
248,90.0,120.0,1.3132
249,100.0,120.0,1.2779
250,110.0,120.0,1.1826
251,120.0,120.0,1.1948
252,130.0,120.0,1.205
253,140.0,120.0,1.1134
254,150.0,120.0,1.0938
255,160.0,120.0,1.0967
256,170.0,120.0,1.0574
257,180.0,120.0,1.0379
258,190.0,120.0,1.0195
259,200.0,120.0,1.0155
260,10.0,130.0,1.5
261,20.0,130.0,1.5
262,30.0,130.0,1.5
263,40.0,130.0,1.5
264,50.0,130.0,1.5
265,60.0,130.0,1.5
266,70.0,130.0,1.417
267,80.0,130.0,1.3592
268,90.0,130.0,1.281
269,100.0,130.0,1.2929
270,110.0,130.0,1.273
271,120.0,130.0,1.1733
272,130.0,130.0,1.1504
273,140.0,130.0,1.1047
274,150.0,130.0,1.0836
275,160.0,130.0,1.0862
276,170.0,130.0,1.0405
277,180.0,130.0,1.0505
278,190.0,130.0,1.0243
279,200.0,130.0,1.0461
280,10.0,140.0,1.5
281,20.0,140.0,1.5
282,30.0,140.0,1.5
283,40.0,140.0,1.5
284,50.0,140.0,1.5
285,60.0,140.0,1.398
286,70.0,140.0,1.4184
287,80.0,140.0,1.3775
288,90.0,140.0,1.3253
289,100.0,140.0,1.2838
290,110.0,140.0,1.2414
291,120.0,140.0,1.2392
292,130.0,140.0,1.1531
293,140.0,140.0,1.1253
294,150.0,140.0,1.1339
295,160.0,140.0,1.0735
296,170.0,140.0,1.0568
297,180.0,140.0,1.038
298,190.0,140.0,1.0141
299,200.0,140.0,1.0262
300,10.0,150.0,1.5
301,20.0,150.0,1.5
302,30.0,150.0,1.5
303,40.0,150.0,1.5
304,50.0,150.0,1.5
305,60.0,150.0,1.5
306,70.0,150.0,1.3727
307,80.0,150.0,1.3953
308,90.0,150.0,1.3864
309,100.0,150.0,1.2918
310,110.0,150.0,1.2189
311,120.0,150.0,1.2209
312,130.0,150.0,1.1985
313,140.0,150.0,1.1479
314,150.0,150.0,1.1361
315,160.0,150.0,1.0887
316,170.0,150.0,1.0422
317,180.0,150.0,1.0383
318,190.0,150.0,1.045
319,200.0,150.0,1.0188
320,10.0,160.0,1.5
321,20.0,160.0,1.5
322,30.0,160.0,1.5
323,40.0,160.0,1.5
324,50.0,160.0,1.5
325,60.0,160.0,1.5
326,70.0,160.0,1.5
327,80.0,160.0,1.3964
328,90.0,160.0,1.3507
329,100.0,160.0,1.2923
330,110.0,160.0,1.2507
331,120.0,160.0,1.2364
332,130.0,160.0,1.1818
333,140.0,160.0,1.1714
334,150.0,160.0,1.1042
335,160.0,160.0,1.076
336,170.0,160.0,1.063
337,180.0,160.0,1.054
338,190.0,160.0,1.0362
339,200.0,160.0,1.0135
340,10.0,170.0,1.5
341,20.0,170.0,1.5
342,30.0,170.0,1.5
343,40.0,170.0,1.5
344,50.0,170.0,1.5
345,60.0,170.0,1.5
346,70.0,170.0,1.3574
347,80.0,170.0,1.3719
348,90.0,170.0,1.3011
349,100.0,170.0,1.308
350,110.0,170.0,1.2302
351,120.0,170.0,1.2136
352,130.0,170.0,1.2053
353,140.0,170.0,1.1572
354,150.0,170.0,1.1225
355,160.0,170.0,1.085
356,170.0,170.0,1.0564
357,180.0,170.0,1.0626
358,190.0,170.0,1.0425
359,200.0,170.0,1.0361
360,10.0,180.0,1.5
361,20.0,180.0,1.5
362,30.0,180.0,1.5
363,40.0,180.0,1.5
364,50.0,180.0,1.5
365,60.0,180.0,1.5
366,70.0,180.0,1.5
367,80.0,180.0,1.3151
368,90.0,180.0,1.331
369,100.0,180.0,1.2959
370,110.0,180.0,1.2349
371,120.0,180.0,1.2933
372,130.0,180.0,1.2187
373,140.0,180.0,1.1482
374,150.0,180.0,1.1794
375,160.0,180.0,1.1047
376,170.0,180.0,1.0621
377,180.0,180.0,1.0603
378,190.0,180.0,1.034
379,200.0,180.0,1.023
380,10.0,190.0,1.5
381,20.0,190.0,1.5
382,30.0,190.0,1.5
383,40.0,190.0,1.5
384,50.0,190.0,1.5
385,60.0,190.0,1.5
386,70.0,190.0,1.5
387,80.0,190.0,1.4364
388,90.0,190.0,1.3735
389,100.0,190.0,1.3547
390,110.0,190.0,1.2424
391,120.0,190.0,1.2549
392,130.0,190.0,1.2411
393,140.0,190.0,1.2199
394,150.0,190.0,1.1505
395,160.0,190.0,1.1125
396,170.0,190.0,1.0773
397,180.0,190.0,1.0506
398,190.0,190.0,1.0315
399,200.0,190.0,1.0248
400,10.0,200.0,1.5
401,20.0,200.0,1.5
402,30.0,200.0,1.5
403,40.0,200.0,1.5
404,50.0,200.0,1.5
405,60.0,200.0,1.5
406,70.0,200.0,1.5
407,80.0,200.0,1.5
408,90.0,200.0,1.3746
409,100.0,200.0,1.314
410,110.0,200.0,1.3204
411,120.0,200.0,1.2692
412,130.0,200.0,1.246
413,140.0,200.0,1.203
414,150.0,200.0,1.1534
415,160.0,200.0,1.0769
416,170.0,200.0,1.0773
417,180.0,200.0,1.0197
418,190.0,200.0,1.0458
419,200.0,200.0,1.0307
