,time_sec,k0_kTnm2,dep_nm
0,10.0,10.0,51.339
1,20.0,10.0,67.392
2,30.0,10.0,82.23
3,40.0,10.0,93.518
4,50.0,10.0,103.59
5,60.0,10.0,112.95
6,70.0,10.0,109.72
7,80.0,10.0,128.68
8,90.0,10.0,133.88
9,100.0,10.0,137.22
10,10.0,20.0,65.607
11,20.0,20.0,84.275
12,30.0,20.0,103.10000000000001
13,40.0,20.0,113.17999999999999
14,50.0,20.0,126.77
15,60.0,20.0,136.88
16,70.0,20.0,143.61
17,80.0,20.0,140.64
18,90.0,20.0,147.34
19,100.0,20.0,157.26000000000002
20,10.0,30.0,70.034
21,20.0,30.0,97.752
22,30.0,30.0,104.05
23,40.0,30.0,116.67999999999999
24,50.0,30.0,124.48
25,60.0,30.0,132.44
26,70.0,30.0,151.81
27,80.0,30.0,157.67
28,90.0,30.0,162.14
29,100.0,30.0,182.83
30,10.0,40.0,80.95599999999999
31,20.0,40.0,105.42999999999999
32,30.0,40.0,116.96
33,40.0,40.0,133.53
34,50.0,40.0,143.85999999999999
35,60.0,40.0,159.9
36,70.0,40.0,170.91000000000003
37,80.0,40.0,180.55
38,90.0,40.0,188.93
39,100.0,40.0,195.42000000000002
40,10.0,50.0,73.613
41,20.0,50.0,101.31
42,30.0,50.0,121.55
43,40.0,50.0,138.12
44,50.0,50.0,151.67
45,60.0,50.0,162.19
46,70.0,50.0,169.71
47,80.0,50.0,182.94
48,90.0,50.0,189.5
49,100.0,50.0,193.32
50,10.0,60.0,97.434
51,20.0,60.0,122.74
52,30.0,60.0,139.32
53,40.0,60.0,157.15
54,50.0,60.0,173.27
55,60.0,60.0,182.0
56,70.0,60.0,197.12
57,80.0,60.0,201.57
58,90.0,60.0,213.47000000000003
59,100.0,60.0,224.4
60,10.0,70.0,88.581
61,20.0,70.0,109.63
62,30.0,70.0,132.94
63,40.0,70.0,147.79
64,50.0,70.0,161.34
65,60.0,70.0,173.12
66,70.0,70.0,188.22
67,80.0,70.0,199.14999999999998
68,90.0,70.0,211.26999999999998
69,100.0,70.0,220.49
70,10.0,80.0,79.982
71,20.0,80.0,106.06
72,30.0,80.0,118.75
73,40.0,80.0,131.88
74,50.0,80.0,149.98
75,60.0,80.0,163.05
76,70.0,80.0,173.23000000000002
77,80.0,80.0,188.73000000000002
78,90.0,80.0,203.75
79,100.0,80.0,206.58999999999997
80,10.0,90.0,83.06200000000001
81,20.0,90.0,112.52000000000001
82,30.0,90.0,127.43
83,40.0,90.0,144.72
84,50.0,90.0,160.41
85,60.0,90.0,177.68
86,70.0,90.0,190.57
87,80.0,90.0,200.7
88,90.0,90.0,208.25
89,100.0,90.0,213.93
90,10.0,100.0,94.97299999999998
91,20.0,100.0,114.7
92,30.0,100.0,133.31
93,40.0,100.0,151.63
94,50.0,100.0,170.49
95,60.0,100.0,175.51
96,70.0,100.0,188.17000000000002
97,80.0,100.0,203.26
98,90.0,100.0,206.95
99,100.0,100.0,222.19
