,logPoff,logDiff,logDLALCK
0,-5.0,-3.0,1.8339549121487748
1,-4.5,-3.0,1.8402223272127516
2,-4.0,-3.0,1.8337475480458398
3,-3.5,-3.0,1.8089404181726019
4,-3.0,-3.0,1.7659891824128207
5,-2.5,-3.0,1.6384232492098496
6,-2.0,-3.0,1.4618788920620491
7,-1.5,-3.0,1.1514598931702256
8,-1.0,-3.0,0.943590679350082
9,-0.5,-3.0,0.6812690331119021
10,-5.0,-2.75,1.9046214004399362
11,-4.5,-2.75,1.9071390566611826
12,-4.0,-2.75,1.8700846424955777
13,-3.5,-2.75,1.8855558275547455
14,-3.0,-2.75,1.8604357338241502
15,-2.5,-2.75,1.7234692656652109
16,-2.0,-2.75,1.4699284311626217
17,-1.5,-2.75,1.2813488664721244
18,-1.0,-2.75,1.0305934073700913
19,-0.5,-2.75,0.8159903502987197
20,-5.0,-2.5,2.0072609636263796
21,-4.5,-2.5,2.013644850899983
22,-4.0,-2.5,2.008769492753769
23,-3.5,-2.5,1.9982230329225605
24,-3.0,-2.5,1.923796618911232
25,-2.5,-2.5,1.7593010208136923
26,-2.0,-2.5,1.5789063397824756
27,-1.5,-2.5,1.4064702646504383
28,-1.0,-2.5,1.2390274571280517
29,-0.5,-2.5,0.9302209391184858
30,-5.0,-2.25,2.096817735234818
31,-4.5,-2.25,2.1103677990941274
32,-4.0,-2.25,2.118689539163094
33,-3.5,-2.25,2.0833618443777024
34,-3.0,-2.25,2.003733563311808
35,-2.5,-2.25,1.9105894890164554
36,-2.0,-2.25,1.7237680420781665
37,-1.5,-2.25,1.4432152176929747
38,-1.0,-2.25,1.2656162686310468
39,-0.5,-2.25,1.0200375586207138
40,-5.0,-2.0,2.232665998360809
41,-4.5,-2.0,2.2473984672979515
42,-4.0,-2.0,2.141739587927732
43,-3.5,-2.0,2.1772959240028467
44,-3.0,-2.0,2.105312951294832
45,-2.5,-2.0,1.9983960758502022
46,-2.0,-2.0,1.826872030061792
47,-1.5,-2.0,1.5501514897340005
48,-1.0,-2.0,1.3387553910406664
49,-0.5,-2.0,1.1428243604547281
50,-5.0,-1.75,2.3291513786377154
51,-4.5,-1.75,2.319238561052337
52,-4.0,-1.75,2.3504120388995613
53,-3.5,-1.75,2.338253551787572
54,-3.0,-1.75,2.3011516151464364
55,-2.5,-1.75,2.089546358695778
56,-2.0,-1.75,1.8308253802462569
57,-1.5,-1.75,1.7135659865979072
58,-1.0,-1.75,1.448562201481666
59,-0.5,-1.75,1.2173697397823902
60,-5.0,-1.5,2.437017571491887
61,-4.5,-1.5,2.5002304642316027
62,-4.0,-1.5,2.4378618433222927
63,-3.5,-1.5,2.3309249781273422
64,-3.0,-1.5,2.5064443657032207
65,-2.5,-1.5,2.3116780832800807
66,-2.0,-1.5,1.9505493818684505
67,-1.5,-1.5,1.7000135638655327
68,-1.0,-1.5,1.5410148542889872
69,-0.5,-1.5,1.1075158206353124
70,-5.0,-1.25,2.6131622920459927
71,-4.5,-1.25,2.6118632602369263
72,-4.0,-1.25,2.601816854490059
73,-3.5,-1.25,2.6126991775517148
74,-3.0,-1.25,2.446857603496792
75,-2.5,-1.25,2.301977791107332
76,-2.0,-1.25,2.2074472311342372
77,-1.5,-1.25,1.9720391402145525
78,-1.0,-1.25,1.7374539928870698
79,-0.5,-1.25,1.5267758758690881
80,-5.0,-1.0,2.7907799769350072
81,-4.5,-1.0,2.758652782761801
82,-4.0,-1.0,2.872409322992042
83,-3.5,-1.0,2.5849264417879416
84,-3.0,-1.0,2.674648562194454
85,-2.5,-1.0,2.544439524962905
86,-2.0,-1.0,2.0502246669963244
87,-1.5,-1.0,2.1280069827042283
88,-1.0,-1.0,1.7541173524827387
89,-0.5,-1.0,1.6166514822279785
90,-5.0,-0.75,2.8775219853184884
91,-4.5,-0.75,3.129367886700386
92,-4.0,-0.75,3.1707863124040134
93,-3.5,-0.75,2.8848889644956524
94,-3.0,-0.75,2.7079433953785315
95,-2.5,-0.75,2.6593378011443916
96,-2.0,-0.75,2.1843292933873255
97,-1.5,-0.75,2.1274009144114894
98,-1.0,-0.75,1.7820162468235627
99,-0.5,-0.75,0.1868261448097541
