,decayLength,depletion,RgRatio,phosRatio
0,10.0,0.0,1.3671,0.0056711
1,20.0,0.0,1.3329,0.043841
2,30.0,0.0,1.3358,0.097928
3,40.0,0.0,1.329,0.13883
4,50.0,0.0,1.2909,0.18379
5,60.0,0.0,1.257,0.26241
6,70.0,0.0,1.2224,0.31277
7,80.0,0.0,1.2046,0.37008
8,90.0,0.0,1.1914,0.38462
9,100.0,0.0,1.1282,0.40039
10,110.0,0.0,1.1079,0.49505
11,120.0,0.0,1.1291,0.46228
12,130.0,0.0,1.0693,0.58621
13,140.0,0.0,1.0571,0.6087
14,150.0,0.0,1.0552,0.65971
15,160.0,0.0,1.0378,0.6582
16,170.0,0.0,1.0326,0.6992
17,180.0,0.0,1.0258,0.76087
18,190.0,0.0,1.019,0.76735
19,200.0,0.0,1.0223,0.78033
20,10.0,10.0,1.5,0.0
21,20.0,10.0,1.394,0.030132
22,30.0,10.0,1.3865,0.059055
23,40.0,10.0,1.3276,0.086538
24,50.0,10.0,1.2837,0.19335
25,60.0,10.0,1.2804,0.18919
26,70.0,10.0,1.2637,0.24792
27,80.0,10.0,1.2045,0.2834
28,90.0,10.0,1.1625,0.36025
29,100.0,10.0,1.1734,0.36791
30,110.0,10.0,1.1404,0.47465
31,120.0,10.0,1.1139,0.46828
32,130.0,10.0,1.1024,0.47148
33,140.0,10.0,1.063,0.54753
34,150.0,10.0,1.0704,0.57263
35,160.0,10.0,1.0299,0.60911
36,170.0,10.0,1.01,0.72868
37,180.0,10.0,1.0196,0.72937
38,190.0,10.0,1.0127,0.76673
39,200.0,10.0,1.0016,0.75198
40,10.0,20.0,1.5,0.0
41,20.0,20.0,1.3946,0.014085
42,30.0,20.0,1.3764,0.039063
43,40.0,20.0,1.3469,0.070423
44,50.0,20.0,1.3604,0.08413
45,60.0,20.0,1.3224,0.14747
46,70.0,20.0,1.2745,0.21384
47,80.0,20.0,1.2099,0.26638
48,90.0,20.0,1.1746,0.30196
49,100.0,20.0,1.1557,0.37882
50,110.0,20.0,1.1109,0.501
